UPC/EAN (GTIN),Master Box #,Style Name,Size,Quantity,FNSKU,Amazon Labels,Referencia,Box,Style #,UPC,EAN,DONE
453903,Box 12 - ARIZONA BFBC MOCCA 39,ARIZONA BFBC MOCCA,39,12,X004WEBIS9,FBA19QHGWM04U000241,453903,12,151181,809410059185,4040714059181,False
453903,Box 13 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000355,453903,13,51791,736399023275,4013871023272,False
453903,Box 14 - BOSTON EVA EGGSHELL 40,BOSTON EVA EGGSHELL,40,12,X004IWTJXV,FBA19QHGWM04U000318,453903,14,1027382,192761925354,4066648349624,False
453903,Box 15 - ARIZONA BFBC MOCCA 39,ARIZONA BFBC MOCCA,39,12,X004WEBIS9,FBA19QHGWM04U000242,453903,15,151181,809410059185,4040714059181,False
453903,Box 16 - ARIZONA BFBC MOCCA 38,ARIZONA BFBC MOCCA,38,12,X004QNRIK3,FBA19QHGWM04U000400,453903,16,151181,809410059178,4040714059174,False
453903,Box 17 - SET ASIDE (NO VA A AMAZON) - ARIZONA SB EVA SURF GREEN 41,ARIZONA SB EVA SURF GREEN,41,8,,SET ASIDE,453903,17,1029744,192762526147,4067707144709,False
453903,Box 18 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000004,453903,18,51791,736399035445,4013871035442,False
453903,Box 19 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000356,453903,19,51791,736399023275,4013871023272,False
453903,Box 20 - SET ASIDE (NO VA A AMAZON) - ARIZONA BFBC GRAY TAUPE 38,ARIZONA BFBC GRAY TAUPE,38,12,,SET ASIDE,453903,20,1032019,192763097530,4067707903382,False
453903,Box 21 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000081,453903,21,51791,736399020274,4013871020271,False
453903,Box 22 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000082,453903,22,51791,736399020274,4013871020271,False
453903,Box 23 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000083,453903,23,51791,736399020274,4013871020271,False
453903,Box 24 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000357,453903,24,51791,736399023275,4013871023272,False
453904,Box 1 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000084,453904,1,51791,736399020274,4013871020271,False
453904,Box 2 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000085,453904,2,51791,736399020274,4013871020271,False
453904,Box 3 - ARIZONA BFBC MOCCA 37,ARIZONA BFBC MOCCA,37,12,X004WEFBWX,FBA19QHGWM04U000390,453904,3,151181,809410059161,4040714059167,False
