PACKING LIST,630 UNIDADES,,,,,,,,,,,,,,,
Style,Size,Description,Pallet Salida,BOX O,EAN-CODE,UPC,QTY,MEDIDAS CAJAS EN PULGADAS,,,PESO (LBS),Shipment # 1,Set Aside,FNSKU,AMAZON Labels,OTHER SKU
1027382,37,BOSTON EVA EGGSHELL,453904,9,4066648349501,192761925262,12,18,18,13,18,12,,X004IX0GV9,FBA19QHGWM04U000072,
51791,42,ARIZONA BF BLACK,453904,10,4013871023272,736399023275,12,18,18,13,18,12,,X0049PUDY1,FBA19QHGWM04U000358,
127103,39,BOSTON EVA BLACK,453904,11,4052001652487,886454652480,12,18,18,13,18,12,,X004IX7WLL,FBA19QHGWM04U000553,
129421,43,ARIZONA EVA BLACK,453904,12,4052001426507,886454426500,8,18,18,13,12,8,,X004IXFTDJ,FBA19QHGWM04U000531,
129421,43,ARIZONA EVA BLACK,453904,13,4052001426507,886454426500,8,18,18,13,12,8,,X004IXFTDJ,FBA19QHGWM04U000532,
1029744,40,ARIZONA SB EVA SURF GREEN,453904,14,4067707144662,192762526116,12,18,18,13,18,,12,,,
51791,39,ARIZONA BF BLACK,453904,15,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000088,
1032019,38,ARIZONA BFBC GRAY TAUPE,453904,16,4067707903382,192763097530,12,18,18,13,18,,12,,,
51791,39,ARIZONA BF BLACK,453904,17,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000089,
51791,39,ARIZONA BF BLACK,453904,18,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000090,
51791,42,ARIZONA BF BLACK,453904,19,4013871023272,736399023275,12,18,18,13,18,12,,X0049PUDY1,FBA19QHGWM04U000359,
129421,43,ARIZONA EVA BLACK,453904,20,4052001426507,886454426500,8,18,18,13,12,8,,X004IXFTDJ,FBA19QHGWM04U000533,
